Designator,Mid X,Mid Y,Rotation,Layer
R504,44.648432,-26.745121,180.0,top
R505,44.652446,-25.171664,0.0,top
R506,55.4,-26.9,270.0,top
R507,63.9,-33.8,90.0,top
R508,56.5,-26.9,270.0,top
R509,61.179976,-31.4253,90.0,top
R510,40.573241,-41.045,180.0,top
R511,40.577118,-36.772649,180.0,top
R512,40.57994,-27.995697,180.0,top
R513,40.570861,-23.85486,180.0,top
R514,57.6,-26.9,270.0,top
R515,58.8,-28.9,270.0,top
R516,36.387702,-41.024268,180.0,top
R517,36.344836,-36.780495,180.0,top
R518,36.377101,-27.992327,180.0,top
R519,36.322913,-23.846951,180.0,top
R524,16.777118,-40.061469,180.0,top
R525,16.777118,-37.561469,180.0,top
R526,16.633685,-26.818326,180.0,top
R527,16.633685,-24.818326,180.0,top
R601,77.933713,-45.886109,180.0,top
R602,66.936187,-45.855329,180.0,top
R603,76.964,-65.4,270.0,top
R604,74.414,-65.4,270.0,top
R605,65.987,-65.4,270.0,top
R606,63.437,-65.4,270.0,top
R607,73.2,-45.85,0.0,top
R608,62.117935,-45.85638,0.0,top
R609,78.65,-69.45,0.0,top
R610,72.65,-69.45,0.0,top
R611,67.6875,-69.45,0.0,top
R612,61.6875,-69.45,0.0,top
R613,77.464,-49.2615,270.0,top
R614,73.714,-49.2615,270.0,top
R615,66.433509,-49.215877,270.0,top
R616,62.627028,-49.204716,270.0,top
R617,79.4,-62.8,270.0,top
R618,68.3,-62.8,270.0,top
R701,17.5,-94.2,90.0,top
R702,42.45,-91.9,90.0,top
R703,99.915441,-88.82647,0.0,top
R704,17.49537,-92.189397,90.0,top
R705,42.482526,-89.851969,90.0,top
R706,101.967,-88.819,0.0,top
R707,22.835,-92.1,270.0,top
R708,47.8,-89.8,270.0,top
R709,101.0,-94.7,0.0,top
R710,22.45,-114.61,90.0,top
R711,22.453033,-112.599839,90.0,top
R712,27.849,-112.6,270.0,top
U201,71.176,-33.8335,180.0,top
U401,103.870522,-67.715093,180.0,top
U402,38.491,-68.2245,270.0,top
U601,75.7,-58.65,270.0,top
U602,64.65,-58.6385,270.0,top
Y201,75.376,-20.5835,90.0,top
